        18	experimenter_hand	        to	         4	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
         5	experimenter_hand	        to	        14	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
         5	experimenter_hand	        to	         2	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        19	experimenter_hand	        to	        22	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        19	experimenter_hand	        to	        17	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
         1	experimenter_hand	        to	        22	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        29	experimenter_hand	        to	        30	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        28	experimenter_hand	        to	        18	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        29	experimenter_hand	        to	         1	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        29	experimenter_hand	        to	        16	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        14	experimenter_hand	        to	         6	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        17	experimenter_hand	        to	        15	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        26	experimenter_hand	        to	         9	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         1	experimenter_hand	        to	        31	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        31	experimenter_hand	        to	        27	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
         5	experimenter_hand	        to	        24	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        25	experimenter_hand	        to	         5	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        14	experimenter_hand	        to	        24	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        29	experimenter_hand	        to	         1	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
         3	experimenter_hand	        to	        31	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        19	experimenter_hand	        to	        20	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        20	experimenter_hand	        to	        26	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
         6	experimenter_hand	        to	         1	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
         9	experimenter_hand	        to	        16	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        16	experimenter_hand	        to	        27	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        19	experimenter_hand	        to	        21	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        27	experimenter_hand	        to	         6	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        21	experimenter_hand	        to	        27	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        23	experimenter_hand	        to	         3	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        16	experimenter_hand	        to	        24	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        24	experimenter_hand	        to	        15	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        29	experimenter_hand	        to	         7	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        22	experimenter_hand	        to	        12	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        28	experimenter_hand	        to	        30	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        11	experimenter_hand	        to	         8	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        15	experimenter_hand	        to	         9	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        29	experimenter_hand	        to	        27	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        16	experimenter_hand	        to	        31	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        27	experimenter_hand	        to	         4	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        31	experimenter_hand	        to	        19	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        27	experimenter_hand	        to	        21	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        19	experimenter_hand	        to	        11	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        12	experimenter_hand	        to	         6	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        18	experimenter_hand	        to	        23	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
         5	experimenter_hand	        to	        28	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        12	experimenter_hand	        to	         4	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        21	experimenter_hand	        to	        23	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        12	experimenter_hand	        to	        25	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        23	experimenter_hand	        to	        29	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
         9	experimenter_hand	        to	        19	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        13	experimenter_hand	        to	         5	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        31	experimenter_hand	        to	         7	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         2	experimenter_hand	        to	         1	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        14	experimenter_hand	        to	         1	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        16	experimenter_hand	        to	         7	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
         3	experimenter_hand	        to	        20	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        19	experimenter_hand	        to	         8	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        12	experimenter_hand	        to	         9	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
         8	experimenter_hand	        to	         1	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
         8	experimenter_hand	        to	        10	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        25	experimenter_hand	        to	        22	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        24	experimenter_hand	        to	        17	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        25	experimenter_hand	        to	        26	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
         3	experimenter_hand	        to	         8	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        20	experimenter_hand	        to	        13	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        18	experimenter_hand	        to	        10	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
         5	experimenter_hand	        to	        17	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
        23	experimenter_hand	        to	        13	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        21	experimenter_hand	        to	        13	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        17	experimenter_hand	        to	        14	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        13	experimenter_hand	        to	        16	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        29	experimenter_hand	        to	        28	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        22	experimenter_hand	        to	        14	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        13	experimenter_hand	        to	        27	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        21	experimenter_hand	        to	         5	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        20	experimenter_hand	        to	         5	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        21	experimenter_hand	        to	        26	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        30	experimenter_hand	        to	        25	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        11	experimenter_hand	        to	        15	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        19	experimenter_hand	        to	        16	    banana	      pass	        to	    banana	  handleft	   enclose	       and	    banana	  handleft	  approach	       and	    banana	 handright	   enclose	       and	    banana	 handright	  approach	          	          	          
        23	experimenter_hand	        to	         5	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        15	experimenter_hand	        to	         9	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        14	experimenter_hand	        to	        20	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        30	experimenter_hand	        to	         1	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        32	experimenter_hand	        to	        29	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        26	experimenter_hand	        to	        10	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
         2	experimenter_hand	        to	        31	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        23	experimenter_hand	        to	        12	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        25	experimenter_hand	        to	        21	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
         7	experimenter_hand	        to	         9	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
         2	experimenter_hand	        to	        31	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        12	experimenter_hand	        to	        15	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        29	experimenter_hand	        to	        10	extra_large_clamp	      pass	        to	extra_large_clamp	  handleft	   enclose	       and	extra_large_clamp	  handleft	  approach	       and	extra_large_clamp	 handright	   enclose	       and	extra_large_clamp	 handright	  approach	          	          	          
        32	experimenter_hand	        to	        31	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
         7	experimenter_hand	        to	        12	power_drill	      pass	        to	power_drill	  handleft	   enclose	       and	power_drill	  handleft	  approach	       and	power_drill	 handright	   enclose	       and	power_drill	 handright	  approach	          	          	          
        13	experimenter_hand	        to	         9	      bowl	      pass	        to	      bowl	  handleft	   enclose	       and	      bowl	  handleft	  approach	       and	      bowl	 handright	   enclose	       and	      bowl	 handright	  approach	          	          	          
        21	experimenter_hand	        to	        15	wood_block	      pass	        to	wood_block	      pass	        to	wood_block	  handleft	   enclose	       and	wood_block	  handleft	  approach	       and	wood_block	 handright	   enclose	       and	wood_block	 handright	  approach
        26	experimenter_hand	        to	         2	master_chef_can	      pass	        to	master_chef_can	  handleft	   enclose	       and	master_chef_can	  handleft	  approach	       and	master_chef_can	 handright	   enclose	       and	master_chef_can	 handright	  approach	          	          	          
        15	experimenter_hand	        to	         8	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
         4	experimenter_hand	        to	        12	mustard_bottle	      pass	        to	mustard_bottle	  handleft	   enclose	       and	mustard_bottle	  handleft	  approach	       and	mustard_bottle	 handright	   enclose	       and	mustard_bottle	 handright	  approach	          	          	          
        27	experimenter_hand	        to	         2	tomato_soup_can	      pass	        to	tomato_soup_can	  handleft	   enclose	       and	tomato_soup_can	  handleft	  approach	       and	tomato_soup_can	 handright	   enclose	       and	tomato_soup_can	 handright	  approach	          	          	          
